rank,artist,song,year
63,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,2018
64,Demi Lovato,Sorry Not Sorry,2018
65,Charlie Puth,How Long,2018
66,MAX Featuring gnash,Lights Down Low,2018
67,Khalid,Young Dumb & Broke,2018
68,Calvin Harris & Dua Lipa,One Kiss,2018
69,Imagine Dragons,Natural,2018
70,Jason Aldean,You Make It Easy,2018
71,Ed Sheeran,Shape Of You,2018
72,Gucci Mane Featuring Migos,I Get The Bag,2018
73,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,2018
74,A$AP Ferg Featuring Nicki Minaj,Plain Jane,2018
75,Miguel Featuring Travis Scott,Sky Walker,2018
76,Thomas Rhett,Marry Me,2018
77,"Benny Blanco, Halsey & Khalid",Eastside,2018
78,The Weeknd,Call Out My Name,2018
79,"Jay Rock, Kendrick Lamar, Future & James Blake",King’s Dead,2018
80,Marshmello & Bastille,Happier,2018
81,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,2018
82,Florida Georgia Line,Simple,2018
83,N*E*R*D & Rihanna,Lemon,2018
84,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,2018
85,Justin Timberlake Featuring Chris Stapleton,Say Something,2018
86,Drake,I’m Upset,2018
87,Kenny Chesney,Get Along,2018
88,XXXTENTACION,Moonlight,2018
89,Maroon 5 Featuring SZA,What Lovers Do,2018
90,Nicky Jam x J Balvin,X,2018
91,YoungBoy Never Broke Again,Outside Today,2018
92,Ella Mai,Trip,2018
93,Daddy Yankee,Dura,2018
94,XXXTENTACION,Changes,2018
95,Brett Young,Mercy,2018
96,Luke Combs,One Number Away,2018
97,Rae Sremmurd & Juicy J,Powerglide,2018
98,Dua Lipa,IDGAF,2018
99,J Balvin & Willy William Featuring Beyonce,Mi Gente,2018
100,Imagine Dragons,Believer,2018
1,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,2019
2,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),2019
3,Halsey,Without Me,2019
4,Billie Eilish,Bad Guy,2019
5,Post Malone,Wow.,2019
6,Marshmello & Bastille,Happier,2019
7,Ariana Grande,7 Rings,2019
8,Khalid,Talk,2019
9,Travis Scott,Sicko Mode,2019
10,Jonas Brothers,Sucker,2019
11,Panic! At The Disco,High Hopes,2019
12,Ariana Grande,"Thank U, Next",2019
13,Lizzo,Truth Hurts,2019
14,Sam Smith & Normani,Dancing With A Stranger,2019
15,16,SenoritaShawn Mendes & Camila Cabello,2019
16,Ed Sheeran & Justin Bieber,I Don’t Care,2019
17,"benny blanco, Halsey & Khalid",Eastside,2019
18,Meek Mill Featuring Drake,Going Bad,2019
19,Lady Gaga & Bradley Cooper,Shallow,2019
20,Khalid,Better,2019
21,Chris Brown Featuring Drake,No Guidance,2019
22,Maroon 5 Featuring Cardi B,Girls Like You,2019
23,Ava Max,Sweet But Psycho,2019
24,DaBaby,Suge,2019
25,J. Cole,Middle Child,2019
26,Lil Baby & Gunna,Drip Too Hard,2019
27,Lewis Capaldi,Someone You Loved,2019
28,Lil Tecca,Ran$om,2019
29,Shawn Mendes,If I Can’t Have You,2019
30,Post Malone Featuring Young Thug,Goodbyes,2019
31,Kodak Black Featuring Travis Scott & Offset,ZEZE,2019
32,Post Malone,Better Now,2019
33,5 Seconds Of Summer,Youngblood,2019
34,Drake Featuring Rick Ross,Money In The Grave,2019
35,Dan + Shay,Speechless,2019
36,Ariana Grande,"Break Up With Your Girlfriend, I’m Bored",2019
37,Cardi B & Bruno Mars,Please Me,2019
38,Cardi B,Money,2019
39,Taylor Swift,You Need To Calm Down,2019
40,Lil Nas X,Panini,2019
41,A Boogie Wit da Hoodie,Look Back At It,2019
42,21 Savage,A Lot,2019
43,Taylor Swift Featuring Brendon Urie,ME!,2019
44,Bad Bunny Featuring Drake,MIA,2019
45,Polo G Featuring Lil Tjay,Pop Out,2019
46,Luke Combs,Beautiful Crazy,2019
47,Blueface,Thotiana,2019
48,Juice WRLD,Lucid Dreams,2019
49,Sheck Wes,Mo Bamba,2019
50,Ed Sheeran Featuring Khalid,Beautiful People,2019
51,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,2019
52,53,Whiskey GlassesMorgan Wallen,2019
53,Blake Shelton,God’s Country,2019
54,Dean Lewis,Be Alright,2019
55,Mustard & Migos,Pure Water,2019
56,Blanco Brown,The Git Up,2019
57,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,2019
58,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me,2019
59,Calboy,Envy Me,2019
60,Lauren Daigle,You Say,2019
61,Panic! At The Disco,"Hey Look Ma, I Made It",2019
62,Post Malone,Circles,2019
63,Luke Combs,Beer Never Broke My Heart,2019
64,"Young Thug, J. Cole & Travis Scott",The London,2019
65,Daddy Yankee & Katy Perry Featuring Snow,Con Calma,2019
66,YNW Melly,Murder On My Mind,2019
67,Billie Eilish,When The Party’s Over,2019
68,City Girls,Act Up,2019
69,"Cardi B, Bad Bunny & J Balvin",I Like It,2019
70,SHAED,Trampoline,2019
71,Flipp Dinero,Leave Me Alone,2019
72,Ariana Grande,Breathin,2019
73,Billie Eilish,Bury A Friend,2019
74,Lil Baby,Close Friends,2019
75,Pinkfong,Baby Shark,2019
76,Saweetie,My Type,2019
77,YK Osiris,Worth It,2019
78,Jonas Brothers,Only Human,2019
79,Luke Bryan,Knockin’ Boots,2019
80,Ella Mai,Trip,2019
81,Lee Brice,Rumor,2019
82,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin,2019
83,Sam Smith,How Do You Sleep?,2019
84,Lil Baby & DaBaby,Baby,2019
85,Thomas Rhett,Look What God Gave Her,2019
86,Kane Brown,Good As You,2019
87,Offset Featuring Cardi B,Clout,2019
88,Khalid & Normani,Love Lies,2019
89,Marshmello & Kane Brown,One Thing Right,2019
90,Megan Thee Stallion Featuring DaBaby,Cash Shit,2019
91,Dan + Shay,Tequila,2019
92,NLE Choppa,Shotta Flow,2019
93,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",Hot Girl Summer,2019
94,Florida Georgia Line,Talk You Out Of It,2019
95,Bazzi Featuring Camila Cabello,Beautiful,2019
96,Chase Rice,Eyes On You,2019
97,Dan + Shay,All To Myself,2019
98,Ariana Grande & Social House,Boyfriend,2019
99,P!nk,Walk Me Home,2019
100,Juice WRLD,Robbery,2019
